Date,DE000A11QW68,DE000A1EWXA4,FR0000060402,IT0004720733,DE0006095003,DE0005313506,DE000A12UL56,DE000A0JBPG2,ES0105058004,IE00BF2NR112,DE000A0D6554,IT0005024960,ES0127797019,IT0004618465,FR0010245803,FR0011995588,PTEDP0AM0009,AT0000746409,IT0001157020,IT0003128367,ES0144580Y14,ES0130670112,DE0006553464,DE000A0H52F5,FR0004191674,IT0001207098,FR0011027143,DE000ENAG999,ES0129743318,FR0010242511,FR0000031023,BE0003822393,DE0005220008,FI0009007132,FR0010208488,DE0007037129,GRS434003000,ES0173093024,AT0000741053,DE000UNSE018,AT0000824503
2010-02-01,,,24.655,5.982820613,1.946256079,,,2.120965584,,,9.16918032,,6.35,,9.0,31.921189836,2.772722091,30.03,9.72189652,3.91,4.089057875,11.606050106,325.0,31.0,14.81,7.85,32.90197117,23.53465891,11.75,36.45911612,115.0,26.945225589,38.71491192,18.55,26.95362784,61.732200566,13.4,9.1875,12.86338199,,124.89
2010-02-02,,,24.745,6.328451422,1.946256079,,,2.124857264,,,9.147616808,,6.3,,9.0,31.802963207,2.764903347,29.65,9.7316771,3.9475,4.124007087,11.776998045,360.0,31.13,14.9,7.82,33.17941589,23.784654355,11.8,36.500841965,116.5,27.228756627,38.729808,18.7,27.15789568,62.463714793,12.98,9.39,12.92316533,,124.89
2010-02-03,,,24.61,6.1288618,1.936524799,,,2.101507184,,,9.073550832,,6.18,,8.9,31.921189836,2.685738564,29.82,9.6827742,3.915,4.084441941,11.742808457,365.0,31.01,14.84,7.73,32.85738184,23.503957715,11.5,36.37566443,115.7,27.023441048,38.04458832,18.58,27.15789568,61.551697056,12.61,9.4125,12.92316533,,124.89
2010-02-04,,,24.045,5.841647466,1.936524799,,,1.999350585,,,8.692907968,,5.83,,9.0,31.862076521,2.61927924,29.7,9.51650434,3.8225,3.891891562,11.177365273,361.0,31.18,14.67,7.58,31.79714666,23.02589625,10.99,35.490149275,115.7,27.042994912,36.25705872,18.35,26.42836768,60.259671929,11.72,9.0,12.70395975,,124.89
2010-02-05,,,23.155,5.646925884,1.936524799,,,1.906923185,,,8.437896,,5.76,,8.95,29.793110514,2.607551124,28.68,9.44804028,3.73,3.851007577,11.090576319,360.0,30.9,13.9,7.43,30.94994939,22.4557312,10.44,34.88280642,114.5,27.013664115,36.53511888,18.0,25.5091624,59.518657517,11.33,8.69625,12.64417641,,119.0
2010-02-08,,,23.465,5.851383545,1.897599677,,,1.994485985,,,8.24101176,,5.85,,8.57,29.556657256,2.641758129,29.1,9.39913738,3.77,3.856942349,11.114246034,358.95,30.9,13.94,7.505,31.07380864,22.76274315,10.3,35.1424339,114.0,27.03321798,36.9422784,18.07,25.76206544,60.4021747,10.9,8.63625,12.60432085,,120.0
2010-02-09,,,23.78,5.963348455,1.848943275,,,1.984756785,,,8.81760132,,5.9,,8.35,29.261090683,2.64859953,29.3,9.26709955,3.7375,3.850348158,11.064276636,359.0,31.0,14.11,7.525,30.59818912,22.71011253,10.25,35.397425175,114.0,27.082102642,37.72183992,17.96,25.60156928,60.231171374,11.55,8.6875,12.48475417,,120.0
2010-02-10,,,23.845,5.875723743,1.936524799,,,2.093723824,,,8.6254048,,6.0,,8.3,28.96552411,2.688670593,29.47,9.24753839,3.8025,3.882000275,11.369352959,350.0,30.96,13.65,7.6,32.0052302,22.73642784,11.09,35.55969235,115.0,27.052771845,36.94724376,18.14,25.776656,60.877183938,11.81,8.7425,12.5545014,,120.0
2010-02-11,,,23.6,5.710210398,1.936524799,,,2.023673585,,,8.47539776,,5.899,,8.48,29.970450457,2.641758129,29.59,9.21330636,3.77,3.831225004,11.214184829,350.0,30.955,14.0,7.64,31.66833304,22.70134076,10.6,35.823956035,114.0,27.179871966,36.83800584,17.99,25.67452208,60.326173222,12.06,8.72,12.64417641,,120.0
2010-02-12,,,23.335,5.685870201,1.848943275,,,2.023673585,,,8.357267216,,5.779,,8.4,30.443356973,2.617324554,29.66,9.20841607,3.81,3.831225004,11.140545717,350.0,30.9,13.9,7.625,31.44043202,22.71011253,10.71,36.222669665,115.98,26.984333318,36.8429712,18.11,25.88851696,60.858183568,12.0,8.9,12.64417641,,124.86
2010-02-15,,,23.275,5.671266082,1.907330958,,,1.994485985,,,8.418207576,,5.76,,8.36,30.443356973,2.622211269,29.89,9.01769476,3.8125,3.846391644,11.11950597,335.05,30.8,13.84,7.555,31.40575143,22.92063501,10.96,36.29221274,114.5,27.130987304,36.8429712,17.95,25.88851696,60.734681167,12.0,8.895,12.6541403,,124.86
2010-02-16,,,22.76,5.588509409,1.907330958,,,2.091777984,,,8.524150048,,5.758,,8.36,30.738923546,2.702353395,29.9,9.01280447,3.865,3.883978533,11.300973783,360.0,30.82,13.69,7.61,31.84669036,23.28904935,11.1,36.519386785,114.45,27.610056989,36.98200128,18.19,26.1900552,61.247691144,11.73,8.9675,12.66410419,,124.86
2010-02-17,,,23.155,5.700474319,1.936524799,,,2.130694784,,,8.51758724,,5.761,,8.8,30.738923546,2.688670593,30.16,9.11061027,3.9175,3.932775547,11.256264322,360.0,30.83,13.48,7.62,32.1043176,23.41185413,11.15,36.185580025,113.85,27.649164719,37.4388144,18.51,26.29218912,61.333192806,11.98,8.935,12.7537792,,124.86
2010-02-18,,,23.15,5.778362952,1.936524799,,,2.208528383,,,8.540088296,,5.95,,9.0,30.620696917,2.713104168,30.45,9.21330636,3.95,3.956514634,11.18262521,335.1,30.9,13.3,7.51,31.8070554,23.49080006,11.15,35.55969235,113.9,27.443849139,38.1339648,18.72,26.45268528,61.79870186,12.18,8.97375,12.81356254,,124.86
2010-02-19,,,22.935,5.666398042,1.936524799,,,2.189069983,,,8.553213912,,6.003,,9.0,30.620696917,2.799110352,30.29,9.16440346,3.975,3.996079781,11.450881976,355.0,30.86,13.3,7.5,32.29258366,23.62237661,10.92,35.351063125,115.95,27.414518342,38.5311936,18.84,26.80772224,61.513696317,12.19,9.00375,12.76374309,,124.86
2010-02-22,,,22.685,5.705342359,1.887868397,,,2.213392983,,,8.488523376,,5.972,,8.94,31.034490118,2.784450207,29.75,9.17418404,3.9775,3.972340693,11.482441596,335.1,31.19,13.4,7.43,31.90118843,23.4206259,11.0,35.235158,121.5,27.678495516,38.42195568,18.8,26.80285872,61.3996941,12.0,9.04625,12.84345421,,124.86
2010-02-23,,,22.71,5.549565093,1.868405836,,,2.146261504,,,8.275700888,,5.918,,8.85,29.793110514,2.7365604,29.84,9.04214621,3.9375,3.890572724,11.350943181,336.05,31.28,13.21,7.45,32.21826811,23.12238572,10.9,34.71590304,122.3,27.678495516,36.743664,18.91,26.7007248,60.326173222,11.36,9.11,12.74381531,,124.86
2010-02-24,,,22.49,5.676134121,1.946256079,,,2.112209304,,,8.437896,,5.98,,8.8,30.738923546,2.685738564,29.8,9.15462288,3.9825,3.890572724,11.177365273,340.0,31.25,13.3,7.375,32.86233621,23.223261075,10.85,34.868897805,121.87,27.23853356,37.71687456,19.08,26.72017888,60.145669712,11.15,9.03125,12.89327366,,124.86
