,name,ticker,isin
0,2Valorise NV,VALOR BB,BE0974275076
1,7C Solarparken AG,HRPK GR,DE000A11QW68
2,ABO Invest AG,ABO GR,DE000A1EWXA4
3,Albioma SA,ABIO FP,FR0000060402
4,Alerion Cleanpower SpA,ARN IM,IT0004720733
5,Audax Renovables SA,ADX SM,ES0136463017
6,Encavis AG,CAP GR,DE0006095003
7,Electrawinds SE,EWI GR,LU0538936351
8,Energiekontor AG,EKT GR,DE0005313506
9,ENCAVIS Asset Management AG,CU1 GR,DE000A12UL56
10,PNE AG,PNE3 GR,DE000A0JBPG2
11,Saeta Yield SA,SAY SM,ES0105058004
12,EQTEC PLC,EQT LN,IE00BH3XCL94
13,Falck Renewables SpA,FKR IM,IT0003198790
14,Futuren SA,FTRN FP,FR0011284991
15,Global EcoPower SA,ALGEP FP,FR0011289198
16,Greencoat Renewables PLC,GRP ID,IE00BF2NR112
17,Nordex SE,NDX1 GR,DE000A0D6554
18,PLT energia SpA,PLTE IM,IT0005024960
19,EDP Renovaveis SA,EDPR PL,ES0127797019
20,Enel Green Power SpA,EGPW IM,IT0004618465
21,Solarworld AG,SWVK GR,DE000A1YCMM2
22,Terna Energy SA,TENERGY GA,GRS496003005
23,Velcan Holdings SA,ALVEL FP,FR0010245803
24,Voltalia SA,VLTSA FP,FR0011995588
25,Martifer SGPS SA,MAR PL,PTMFR0AM0003
26,EDP - Energias de Portugal SA,EDP PL,PTEDP0AM0009
27,Verbund AG,VER AV,AT0000746409
28,ERG SpA,ERG IM,IT0001157020
29,Enel SpA,ENEL IM,IT0003128367
30,Iberdrola SA,IBE SM,ES0144580Y14
31,Hera SpA,HER IM,IT0001250932
32,Endesa SA,ELE SM,ES0130670112
33,Innogy SE,IGY GR,DE000A2AADD2
34,Iren SpA,IRE IM,IT0003027817
35,Mainova AG,MNV6 GR,DE0006553464
36,MVV Energie AG,MVV1 GR,DE000A0H52F5
37,Sonae Capital SGPS SA,SONC PL,PTSNP0AE0008
38,Direct Energie,DIREN FP,FR0004191674
39,A2A SpA,A2A IM,IT0001233417
40,ACEA SpA,ACE IM,IT0001207098
41,Areva SA,ARVCF US,FR0011027143
42,E.ON SE,EOAN GR,DE000ENAG999
43,Elecnor SA,ENO SM,ES0129743318
44,Electricite de France SA,EDF FP,FR0010242511
45,Electricite de Strasbourg SA,ELEC FP,FR0000031023
46,Elia Group SA/NV,ELI BB,BE0003822393
47,EnBW Energie Baden-Wuerttemberg AG,EBK GR,DE0005220008
48,Fortum Oyj,FORTUM FH,FI0009007132
49,Engie SA,ENGI FP,FR0010208488
50,RWE AG,RWE GR,DE0007037129
51,Public Power Corp SA,PPC GA,GRS434003000
52,Red Electrica Corp SA,REE SM,ES0173093024
53,EVN AG,EVN AV,AT0000741053
54,Uniper SE,UN01 GR,DE000UNSE018
55,Vorarlberger Kraftwerke AG,VKW AV,AT0000824503
