year,Variable,Year,Value,Discount
2020-01-01,Final Energy|Transportation|Electricity,2020,0.3126,0.3126
2020-01-01,Final Energy|Transportation|Liquids|Oil,2020,15.42,15.42
2020-01-01,Primary Energy|Coal,2020,7.1221,7.1221
2020-01-01,Primary Energy|Gas,2020,14.5154,14.5154
2020-01-01,Primary Energy|Oil,2020,23.1702,23.1702
2020-01-01,Secondary Energy|Electricity|Biomass,2020,0.5551,0.5551
2020-01-01,Secondary Energy|Electricity|Coal,2020,2.4137,2.4137
2020-01-01,Secondary Energy|Electricity|Gas,2020,2.2751,2.2751
2020-01-01,Secondary Energy|Electricity|Hydro,2020,1.499,1.499
2020-01-01,Secondary Energy|Electricity|Non-Biomass Renewables,2020,4.2206,4.2206
2020-01-01,Secondary Energy|Electricity|Nuclear,2020,2.3689,2.3689
2020-01-01,Secondary Energy|Electricity|Solar,2020,0.912,0.912
2020-01-01,Secondary Energy|Electricity|Wind,2020,1.7149,1.7149
2025-01-01,Final Energy|Transportation|Electricity,2025,0.5425,0.5161701355266611
2025-01-01,Final Energy|Transportation|Liquids|Oil,2025,14.5318,13.82650907916375
2025-01-01,Primary Energy|Coal,2025,4.9838,4.741914693894514
2025-01-01,Primary Energy|Gas,2025,14.6531,13.94192186707045
2025-01-01,Primary Energy|Oil,2025,21.5451,20.49942338605616
2025-01-01,Secondary Energy|Electricity|Biomass,2025,0.6239,0.5936194424978505
2025-01-01,Secondary Energy|Electricity|Coal,2025,1.7034,1.6207266522693358
2025-01-01,Secondary Energy|Electricity|Gas,2025,2.5957,2.4697194853208373
2025-01-01,Secondary Energy|Electricity|Hydro,2025,1.5828,1.5059798903439618
2025-01-01,Secondary Energy|Electricity|Non-Biomass Renewables,2025,5.8601,5.575684075944308
2025-01-01,Secondary Energy|Electricity|Nuclear,2025,1.7246,1.6408977248465986
2025-01-01,Secondary Energy|Electricity|Solar,2025,1.6234,1.5446093972607957
2025-01-01,Secondary Energy|Electricity|Wind,2025,2.5419,2.4185306313275943
2030-01-01,Final Energy|Transportation|Electricity,2030,0.9209,0.8336787565767684
2030-01-01,Final Energy|Transportation|Liquids|Oil,2030,14.2341,12.885945041795393
2030-01-01,Primary Energy|Coal,2030,3.8227,3.4606404417048675
2030-01-01,Primary Energy|Gas,2030,14.4493,13.080762794445322
2030-01-01,Primary Energy|Oil,2030,20.4038,18.471293966164694
2030-01-01,Secondary Energy|Electricity|Biomass,2030,0.66,0.597489390097369
2030-01-01,Secondary Energy|Electricity|Coal,2030,1.3024,1.1790457297921415
2030-01-01,Secondary Energy|Electricity|Gas,2030,2.6111,2.3637947673988484
2030-01-01,Secondary Energy|Electricity|Hydro,2030,1.5826,1.4327071344971154
2030-01-01,Secondary Energy|Electricity|Non-Biomass Renewables,2030,8.0168,7.257504458382709
2030-01-01,Secondary Energy|Electricity|Nuclear,2030,1.1252,1.0186288814205449
2030-01-01,Secondary Energy|Electricity|Solar,2030,2.6711,2.4181119846804275
2030-01-01,Secondary Energy|Electricity|Wind,2030,3.6512,3.3053837289750203
2035-01-01,Final Energy|Transportation|Electricity,2035,1.42,1.2231162542562979
2035-01-01,Final Energy|Transportation|Liquids|Oil,2035,13.4641,11.597295464036776
2035-01-01,Primary Energy|Coal,2035,2.9741,2.5617394730870817
2035-01-01,Primary Energy|Gas,2035,14.6184,12.591551162831173
2035-01-01,Primary Energy|Oil,2035,19.1895,16.528865747219175
2035-01-01,Secondary Energy|Electricity|Biomass,2035,0.6484,0.5584989994787208
2035-01-01,Secondary Energy|Electricity|Coal,2035,0.9503,0.8185404059294085
2035-01-01,Secondary Energy|Electricity|Gas,2035,2.5018,2.1549241161256383
2035-01-01,Secondary Energy|Electricity|Hydro,2035,1.5705,1.352749350217969
2035-01-01,Secondary Energy|Electricity|Non-Biomass Renewables,2035,10.1513,8.743816923825323
2035-01-01,Secondary Energy|Electricity|Nuclear,2035,0.7015,0.6042366565921078
2035-01-01,Secondary Energy|Electricity|Solar,2035,3.4963,3.0115361688424613
2035-01-01,Secondary Energy|Electricity|Wind,2035,4.9725,4.283060263584114
2040-01-01,Final Energy|Transportation|Electricity,2040,2.0492,1.6794105286151857
2040-01-01,Final Energy|Transportation|Liquids|Oil,2040,11.4912,9.417549417539929
2040-01-01,Primary Energy|Coal,2040,2.4244,1.986903613885739
2040-01-01,Primary Energy|Gas,2040,14.2703,11.695145455054307
2040-01-01,Primary Energy|Oil,2040,17.0567,13.978724167202147
2040-01-01,Secondary Energy|Electricity|Biomass,2040,0.5977,0.4898417299206015
2040-01-01,Secondary Energy|Electricity|Coal,2040,0.6299,0.5162310618654624
2040-01-01,Secondary Energy|Electricity|Gas,2040,2.317,1.8988845377715136
2040-01-01,Secondary Energy|Electricity|Hydro,2040,1.551,1.271113473493145
2040-01-01,Secondary Energy|Electricity|Non-Biomass Renewables,2040,11.9815,9.819372071346306
2040-01-01,Secondary Energy|Electricity|Nuclear,2040,0.4505,0.3692047838869516
2040-01-01,Secondary Energy|Electricity|Solar,2040,4.0456,3.3155491091965628
2040-01-01,Secondary Energy|Electricity|Wind,2040,6.2729,5.14092050797882
2045-01-01,Final Energy|Transportation|Electricity,2045,2.779,2.1669765030797246
2045-01-01,Final Energy|Transportation|Liquids|Oil,2045,9.2581,7.219174222080748
2045-01-01,Primary Energy|Coal,2045,2.1289,1.6600490382894657
2045-01-01,Primary Energy|Gas,2045,13.5322,10.551982524280477
2045-01-01,Primary Energy|Oil,2045,14.2191,11.087605467772907
2045-01-01,Secondary Energy|Electricity|Biomass,2045,0.5331,0.41569455695998603
2045-01-01,Secondary Energy|Electricity|Coal,2045,0.3313,0.25833728516384047
2045-01-01,Secondary Energy|Electricity|Gas,2045,2.1526,1.6785295503884186
2045-01-01,Secondary Energy|Electricity|Hydro,2045,1.5268,1.1905504587629088
