year,Variable,Year,Value,Discount
2020-01-01,Final Energy|Transportation|Electricity,2020,0.3126,0.3126
2020-01-01,Final Energy|Transportation|Liquids|Oil,2020,15.42,15.42
2020-01-01,Primary Energy|Coal,2020,7.1221,7.1221
2020-01-01,Primary Energy|Gas,2020,14.5154,14.5154
2020-01-01,Primary Energy|Oil,2020,23.1702,23.1702
2020-01-01,Secondary Energy|Electricity|Biomass,2020,0.5551,0.5551
2020-01-01,Secondary Energy|Electricity|Coal,2020,2.4137,2.4137
2020-01-01,Secondary Energy|Electricity|Gas,2020,2.2751,2.2751
2020-01-01,Secondary Energy|Electricity|Hydro,2020,1.499,1.499
2020-01-01,Secondary Energy|Electricity|Non-Biomass Renewables,2020,4.2206,4.2206
2020-01-01,Secondary Energy|Electricity|Nuclear,2020,2.3689,2.3689
2020-01-01,Secondary Energy|Electricity|Solar,2020,0.912,0.912
2020-01-01,Secondary Energy|Electricity|Wind,2020,1.7149,1.7149
2025-01-01,Final Energy|Transportation|Electricity,2025,0.5425,0.5161701355266611
2025-01-01,Final Energy|Transportation|Liquids|Oil,2025,14.5318,13.82650907916375
2025-01-01,Primary Energy|Coal,2025,4.9838,4.741914693894514
2025-01-01,Primary Energy|Gas,2025,14.6531,13.94192186707045
2025-01-01,Primary Energy|Oil,2025,21.5451,20.49942338605616
2025-01-01,Secondary Energy|Electricity|Biomass,2025,0.6239,0.5936194424978505
2025-01-01,Secondary Energy|Electricity|Coal,2025,1.7034,1.6207266522693358
2025-01-01,Secondary Energy|Electricity|Gas,2025,2.5957,2.4697194853208373
2025-01-01,Secondary Energy|Electricity|Hydro,2025,1.5828,1.5059798903439618
2025-01-01,Secondary Energy|Electricity|Non-Biomass Renewables,2025,5.8601,5.575684075944308
2025-01-01,Secondary Energy|Electricity|Nuclear,2025,1.7246,1.6408977248465986
2025-01-01,Secondary Energy|Electricity|Solar,2025,1.6234,1.5446093972607957
2025-01-01,Secondary Energy|Electricity|Wind,2025,2.5419,2.4185306313275943
2030-01-01,Final Energy|Transportation|Electricity,2030,0.9209,0.8336787565767684
2030-01-01,Final Energy|Transportation|Liquids|Oil,2030,14.2341,12.885945041795393
2030-01-01,Primary Energy|Coal,2030,3.8227,3.4606404417048675
2030-01-01,Primary Energy|Gas,2030,14.4493,13.080762794445322
2030-01-01,Primary Energy|Oil,2030,20.4038,18.471293966164694
2030-01-01,Secondary Energy|Electricity|Biomass,2030,0.66,0.597489390097369
2030-01-01,Secondary Energy|Electricity|Coal,2030,1.3024,1.1790457297921415
2030-01-01,Secondary Energy|Electricity|Gas,2030,2.6111,2.3637947673988484
2030-01-01,Secondary Energy|Electricity|Hydro,2030,1.5826,1.4327071344971154
2030-01-01,Secondary Energy|Electricity|Non-Biomass Renewables,2030,8.0168,7.257504458382709
2030-01-01,Secondary Energy|Electricity|Nuclear,2030,1.1252,1.0186288814205449
2030-01-01,Secondary Energy|Electricity|Solar,2030,2.6711,2.4181119846804275
2030-01-01,Secondary Energy|Electricity|Wind,2030,3.6512,3.3053837289750203
2035-01-01,Final Energy|Transportation|Electricity,2035,1.5622,1.3456001495768934
2035-01-01,Final Energy|Transportation|Liquids|Oil,2035,11.9714,10.311559102960453
2035-01-01,Primary Energy|Coal,2035,1.0015,0.8626414990406215
2035-01-01,Primary Energy|Gas,2035,8.0562,6.939203639112386
2035-01-01,Primary Energy|Oil,2035,16.4681,14.184789286421227
2035-01-01,Secondary Energy|Electricity|Biomass,2035,0.6879,0.5925223037344418
2035-01-01,Secondary Energy|Electricity|Coal,2035,0.289,0.2489299982254015
2035-01-01,Secondary Energy|Electricity|Gas,2035,1.2779,1.1007184938831853
2035-01-01,Secondary Energy|Electricity|Hydro,2035,1.5727,1.3546443190625914
2035-01-01,Secondary Energy|Electricity|Non-Biomass Renewables,2035,12.126,10.444723731768923
2035-01-01,Secondary Energy|Electricity|Nuclear,2035,0.7015,0.6042366565921078
2035-01-01,Secondary Energy|Electricity|Solar,2035,4.3132,3.715172554829764
2035-01-01,Secondary Energy|Electricity|Wind,2035,6.1281,5.278435716695789
2040-01-01,Final Energy|Transportation|Electricity,2040,2.5684,2.1049180176143096
2040-01-01,Final Energy|Transportation|Liquids|Oil,2040,7.8452,6.42949027869015
2040-01-01,Primary Energy|Coal,2040,0.2168,0.17767724116912564
2040-01-01,Primary Energy|Gas,2040,3.241,2.6561436283631745
2040-01-01,Primary Energy|Oil,2040,9.4125,7.713962327049793
2040-01-01,Secondary Energy|Electricity|Biomass,2040,0.739,0.6056433635792613
2040-01-01,Secondary Energy|Electricity|Coal,2040,0.0016,0.0013112711525396727
2040-01-01,Secondary Energy|Electricity|Gas,2040,0.3493,0.2862668834888173
2040-01-01,Secondary Energy|Electricity|Hydro,2040,1.5585,1.277260057020675
2040-01-01,Secondary Energy|Electricity|Non-Biomass Renewables,2040,17.4861,14.330636562764981
2040-01-01,Secondary Energy|Electricity|Nuclear,2040,0.4505,0.3692047838869516
2040-01-01,Secondary Energy|Electricity|Solar,2040,6.2303,5.106007913542451
2040-01-01,Secondary Energy|Electricity|Wind,2040,9.5853,7.855579611524078
2045-01-01,Final Energy|Transportation|Electricity,2045,3.6759,2.8663508196008487
2045-01-01,Final Energy|Transportation|Liquids|Oil,2045,4.0288,3.1415311031333553
2045-01-01,Primary Energy|Coal,2045,0.2988,0.23299481076654252
2045-01-01,Primary Energy|Gas,2045,1.8474,1.4405442215867157
2045-01-01,Primary Energy|Oil,2045,4.5429,3.5424100596764596
2045-01-01,Secondary Energy|Electricity|Biomass,2045,0.7926,0.6180444679168728
2045-01-01,Secondary Energy|Electricity|Coal,2045,0.0009,0.0007017915986944051
2045-01-01,Secondary Energy|Electricity|Gas,2045,0.228,0.17778720500258266
2045-01-01,Secondary Energy|Electricity|Hydro,2045,1.5409,1.201545193809121
