year,Variable,Year,Value,Discount
2020-01-01,Final Energy|Transportation|Electricity,2020,0.3126,0.3126
2020-01-01,Final Energy|Transportation|Liquids|Oil,2020,15.42,15.42
2020-01-01,Primary Energy|Coal,2020,7.1221,7.1221
2020-01-01,Primary Energy|Gas,2020,14.5154,14.5154
2020-01-01,Primary Energy|Oil,2020,23.1702,23.1702
2020-01-01,Secondary Energy|Electricity|Biomass,2020,0.5551,0.5551
2020-01-01,Secondary Energy|Electricity|Coal,2020,2.4137,2.4137
2020-01-01,Secondary Energy|Electricity|Gas,2020,2.2751,2.2751
2020-01-01,Secondary Energy|Electricity|Hydro,2020,1.499,1.499
2020-01-01,Secondary Energy|Electricity|Non-Biomass Renewables,2020,4.2206,4.2206
2020-01-01,Secondary Energy|Electricity|Nuclear,2020,2.3689,2.3689
2020-01-01,Secondary Energy|Electricity|Solar,2020,0.912,0.912
2020-01-01,Secondary Energy|Electricity|Wind,2020,1.7149,1.7149
2025-01-01,Final Energy|Transportation|Electricity,2025,0.6149,0.5850562513093898
2025-01-01,Final Energy|Transportation|Liquids|Oil,2025,13.814,13.143547008599626
2025-01-01,Primary Energy|Coal,2025,2.2772,2.166677663818088
2025-01-01,Primary Energy|Gas,2025,11.957,11.376675226713894
2025-01-01,Primary Energy|Oil,2025,20.7048,19.699906768760208
2025-01-01,Secondary Energy|Electricity|Biomass,2025,0.6334,0.6026583665301146
2025-01-01,Secondary Energy|Electricity|Coal,2025,0.6993,0.6653599553433994
2025-01-01,Secondary Energy|Electricity|Gas,2025,1.8685,1.7778136372932098
2025-01-01,Secondary Energy|Electricity|Hydro,2025,1.5859,1.5089294339755428
2025-01-01,Secondary Energy|Electricity|Non-Biomass Renewables,2025,7.1245,6.7787172913542815
2025-01-01,Secondary Energy|Electricity|Nuclear,2025,1.7246,1.6408977248465986
2025-01-01,Secondary Energy|Electricity|Solar,2025,2.1943,2.0878011583154885
2025-01-01,Secondary Energy|Electricity|Wind,2025,3.2323,3.0754225420512937
2030-01-01,Final Energy|Transportation|Electricity,2030,1.2687,1.1485375594189877
2030-01-01,Final Energy|Transportation|Liquids|Oil,2030,11.7166,10.606885133355808
2030-01-01,Primary Energy|Coal,2030,0.3519,0.3185704793564608
2030-01-01,Primary Energy|Gas,2030,8.2168,7.438561849321304
2030-01-01,Primary Energy|Oil,2030,17.2685,15.632947777115781
2030-01-01,Secondary Energy|Electricity|Biomass,2030,0.7451,0.6745293099417419
2030-01-01,Secondary Energy|Electricity|Coal,2030,0.0422,0.038203109488043896
2030-01-01,Secondary Energy|Electricity|Gas,2030,0.6146,0.5563893623543076
2030-01-01,Secondary Energy|Electricity|Hydro,2030,1.5907,1.4400399588301285
2030-01-01,Secondary Energy|Electricity|Non-Biomass Renewables,2030,11.7027,10.594301644685576
2030-01-01,Secondary Energy|Electricity|Nuclear,2030,1.1252,1.0186288814205449
2030-01-01,Secondary Energy|Electricity|Solar,2030,4.1144,3.7247126463888103
2030-01-01,Secondary Energy|Electricity|Wind,2030,5.8856,5.328156900541022
2035-01-01,Final Energy|Transportation|Electricity,2035,2.2233,1.9150382873859348
2035-01-01,Final Energy|Transportation|Liquids|Oil,2035,8.4654,7.291667844212159
2035-01-01,Primary Energy|Coal,2035,0.283,0.2437619013764312
2035-01-01,Primary Energy|Gas,2035,5.9955,5.164220776333545
2035-01-01,Primary Energy|Oil,2035,12.6472,10.893659078049474
2035-01-01,Secondary Energy|Electricity|Biomass,2035,0.8837,0.7611745309058384
2035-01-01,Secondary Energy|Electricity|Coal,2035,0.0016,0.0013781591597254062
2035-01-01,Secondary Energy|Electricity|Gas,2035,0.3741,0.32223083853329654
2035-01-01,Secondary Energy|Electricity|Hydro,2035,1.5823,1.362913274020944
2035-01-01,Secondary Energy|Electricity|Non-Biomass Renewables,2035,15.9467,13.73568167024571
2035-01-01,Secondary Energy|Electricity|Nuclear,2035,0.7015,0.6042366565921078
2035-01-01,Secondary Energy|Electricity|Solar,2035,5.7184,4.925540836858602
2035-01-01,Secondary Energy|Electricity|Wind,2035,8.5341,7.3508425531328685
2040-01-01,Final Energy|Transportation|Electricity,2040,3.2094,2.630246023100516
2040-01-01,Final Energy|Transportation|Liquids|Oil,2040,4.6823,3.837353073460318
2040-01-01,Primary Energy|Coal,2040,0.2698,0.2211130980970023
2040-01-01,Primary Energy|Gas,2040,3.2449,2.65933985179749
2040-01-01,Primary Energy|Oil,2040,6.3862,5.233774896468036
2040-01-01,Secondary Energy|Electricity|Biomass,2040,0.9504,0.7788950646085656
2040-01-01,Secondary Energy|Electricity|Coal,2040,0.0011,0.000901498917371025
2040-01-01,Secondary Energy|Electricity|Gas,2040,0.3241,0.26561436283631745
2040-01-01,Secondary Energy|Electricity|Hydro,2040,1.566,1.2834066405482047
2040-01-01,Secondary Energy|Electricity|Non-Biomass Renewables,2040,19.1463,15.69124429241896
2040-01-01,Secondary Energy|Electricity|Nuclear,2040,0.4505,0.3692047838869516
2040-01-01,Secondary Energy|Electricity|Solar,2040,6.6601,5.458248126893421
2040-01-01,Secondary Energy|Electricity|Wind,2040,10.8083,8.857882498746589
2045-01-01,Final Energy|Transportation|Electricity,2045,3.9793,3.1029325652051627
2045-01-01,Final Energy|Transportation|Liquids|Oil,2045,2.653,2.0687256792625077
2045-01-01,Primary Energy|Coal,2045,0.2225,0.17349847856611683
2045-01-01,Primary Energy|Gas,2045,2.2562,1.7593135610825745
2045-01-01,Primary Energy|Oil,2045,3.7094,2.8924730624411406
2045-01-01,Secondary Energy|Electricity|Biomass,2045,0.9272,0.7230013003438361
2045-01-01,Secondary Energy|Electricity|Coal,2045,0.0006,0.0004678610657962701
2045-01-01,Secondary Energy|Electricity|Gas,2045,0.2432,0.18963968533608816
2045-01-01,Secondary Energy|Electricity|Hydro,2045,1.5453,1.2049761749582937
