BE0974275076,DE000A11QW68,DE000A1EWXA4,FR0000060402,IT0004720733,ES0136463017,DE0006095003,LU0538936351,DE0005313506,DE000A12UL56,DE000A0JBPG2,ES0105058004,IE00BH3XCL94,IT0003198790,FR0011284991,FR0011289198,IE00BF2NR112,DE000A0D6554,IT0005024960,ES0127797019,IT0004618465,DE000A1YCMM2,GRS496003005,FR0010245803,FR0011995588,PTMFR0AM0003,PTEDP0AM0009,AT0000746409,IT0001157020,IT0003128367,ES0144580Y14,IT0001250932,ES0130670112,DE000A2AADD2,IT0003027817,DE0006553464,DE000A0H52F5,PTSNP0AE0008,FR0004191674,IT0001233417,IT0001207098,FR0011027143,DE000ENAG999,ES0129743318,FR0010242511,FR0000031023,BE0003822393,DE0005220008,FI0009007132,FR0010208488,DE0007037129,GRS434003000,ES0173093024,AT0000741053,DE000UNSE018,AT0000824503,Date
121.212125,,,24.655,5.982820613,2.05,1.946256079,,,,2.120965584,,700.0,2.7691344,3.923532743,172.560793771,,9.16918032,,6.35,,1852.5,4.13547157,9.0,31.921189836,3.38,2.772722091,30.03,9.72189652,3.91,4.089057875,1.672955438,11.606050106,,1.37,325.0,31.0,0.74,14.81,1.38,7.85,32.90197117,23.53465891,11.75,36.45911612,115.0,26.945225589,38.71491192,18.55,26.95362784,61.732200566,13.4,9.1875,12.86338199,,124.89,2010-02-01
123.39394325,,,24.745,6.328451422,2.06,1.946256079,,,,2.124857264,,700.0,2.77298042,4.045381586,169.051082712,,9.147616808,,6.3,,1883.25,4.07901462,9.0,31.802963207,3.36,2.764903347,29.65,9.7316771,3.9475,4.124007087,1.677893323,11.776998045,,1.38,360.0,31.13,0.75,14.9,1.382,7.82,33.17941589,23.784654355,11.8,36.500841965,116.5,27.228756627,38.729808,18.7,27.15789568,62.463714793,12.98,9.39,12.92316533,,124.89,2010-02-02
121.45454925,,,24.61,6.1288618,2.05,1.936524799,,,,2.101507184,,700.0,2.77490343,3.97227228,169.051082712,,9.073550832,,6.18,,1879.5,4.064900382,8.9,31.921189836,3.37,2.685738564,29.82,9.6827742,3.915,4.084441941,1.676905746,11.742808457,,1.359,365.0,31.01,0.73,14.84,1.385,7.73,32.85738184,23.503957715,11.5,36.37566443,115.7,27.023441048,38.04458832,18.58,27.15789568,61.551697056,12.61,9.4125,12.92316533,,124.89,2010-02-03
121.45454925,,,24.045,5.841647466,1.905,1.936524799,,,,1.999350585,,700.0,2.73836624,3.899162975,169.051082712,,8.692907968,,5.83,,1857.0,3.902586652,9.0,31.862076521,3.11,2.61927924,29.7,9.51650434,3.8225,3.891891562,1.636415089,11.177365273,,1.329,361.0,31.18,0.68,14.67,1.365,7.58,31.79714666,23.02589625,10.99,35.490149275,115.7,27.042994912,36.25705872,18.35,26.42836768,60.259671929,11.72,9.0,12.70395975,,124.89,2010-02-04
125.5757615,,,23.155,5.646925884,1.94,1.936524799,,,,1.906923185,,700.0,2.7306742,3.813868785,169.051082712,,8.437896,,5.76,,,3.634416141,8.95,29.793110514,3.04,2.607551124,28.68,9.44804028,3.73,3.851007577,1.598887163,11.090576319,,1.307,360.0,30.9,0.66,13.9,1.329,7.43,30.94994939,22.4557312,10.44,34.88280642,114.5,27.013664115,36.53511888,18.0,25.5091624,59.518657517,11.33,8.69625,12.64417641,,119.0,2010-02-05
120.96970075,,,23.465,5.851383545,1.94,1.897599677,,,,1.994485985,,700.0,2.67106089,3.752944363,124.009790778,,8.24101176,,5.85,,1764.75,3.373302748,8.57,29.556657256,3.06,2.641758129,29.1,9.39913738,3.77,3.856942349,1.586048662,11.114246034,,1.305,358.95,30.9,0.66,13.94,1.271,7.505,31.07380864,22.76274315,10.3,35.1424339,114.0,27.03321798,36.9422784,18.07,25.76206544,60.4021747,10.9,8.63625,12.60432085,,120.0,2010-02-08
119.7575795,,,23.78,5.963348455,1.9,1.848943275,,,,1.984756785,,650.0,2.66144584,3.704204826,124.009790778,,8.81760132,,5.9,,1852.5,3.422702579,8.35,29.261090683,3.18,2.64859953,29.3,9.26709955,3.7375,3.850348158,1.585061085,11.064276636,,1.334,359.0,31.0,0.65,14.11,1.263,7.525,30.59818912,22.71011253,10.25,35.397425175,114.0,27.082102642,37.72183992,17.96,25.60156928,60.231171374,11.55,8.6875,12.48475417,,120.0,2010-02-09
116.8484885,,,23.845,5.875723743,1.93,1.936524799,,,,2.093723824,,600.0,2.6729839,3.789499016,120.500079718,,8.6254048,,6.0,,1743.75,3.479159529,8.3,28.96552411,3.24,2.688670593,29.47,9.24753839,3.8025,3.882000275,1.598887163,11.369352959,,1.345,350.0,30.96,0.66,13.65,1.276,7.6,32.0052302,22.73642784,11.09,35.55969235,115.0,27.052771845,36.94724376,18.14,25.776656,60.877183938,11.81,8.7425,12.5545014,,120.0,2010-02-10
117.57576125,,,23.6,5.710210398,1.92,1.936524799,,,,2.023673585,,600.0,2.64606176,3.740759479,120.500079718,,8.47539776,,5.899,,1668.0,3.521502241,8.48,29.970450457,3.25,2.641758129,29.59,9.21330636,3.77,3.831225004,1.598887163,11.214184829,,1.336,350.0,30.955,0.65,14.0,1.265,7.64,31.66833304,22.70134076,10.6,35.823956035,114.0,27.179871966,36.83800584,17.99,25.67452208,60.326173222,12.06,8.72,12.64417641,,120.0,2010-02-11
118.303034,,,23.335,5.685870201,1.945,1.848943275,,,,2.023673585,,600.0,2.692214,3.777314132,120.500079718,,8.357267216,,5.779,,,3.641473259,8.4,30.443356973,3.2,2.617324554,29.66,9.20841607,3.81,3.831225004,1.607775356,11.140545717,,1.312,350.0,30.9,0.65,13.9,1.267,7.625,31.44043202,22.71011253,10.71,36.222669665,115.98,26.984333318,36.8429712,18.11,25.88851696,60.858183568,12.0,8.9,12.64417641,,124.86,2010-02-12
