name,ticker,isin
2Valorise NV,VALOR BB,BE0974275076
7C Solarparken AG,HRPK GR,DE000A11QW68
ABO Invest AG,ABO GR,DE000A1EWXA4
Albioma SA,ABIO FP,FR0000060402
Alerion Cleanpower SpA,ARN IM,IT0004720733
Audax Renovables SA,ADX SM,ES0136463017
Encavis AG,CAP GR,DE0006095003
Electrawinds SE,EWI GR,LU0538936351
Energiekontor AG,EKT GR,DE0005313506
ENCAVIS Asset Management AG,CU1 GR,DE000A12UL56
PNE AG,PNE3 GR,DE000A0JBPG2
Saeta Yield SA,SAY SM,ES0105058004
EQTEC PLC,EQT LN,IE00BH3XCL94
Falck Renewables SpA,FKR IM,IT0003198790
Futuren SA,FTRN FP,FR0011284991
Global EcoPower SA,ALGEP FP,FR0011289198
Greencoat Renewables PLC,GRP ID,IE00BF2NR112
Nordex SE,NDX1 GR,DE000A0D6554
PLT energia SpA,PLTE IM,IT0005024960
EDP Renovaveis SA,EDPR PL,ES0127797019
Enel Green Power SpA,EGPW IM,IT0004618465
Solarworld AG,SWVK GR,DE000A1YCMM2
Terna Energy SA,TENERGY GA,GRS496003005
Velcan Holdings SA,ALVEL FP,FR0010245803
Voltalia SA,VLTSA FP,FR0011995588
Martifer SGPS SA,MAR PL,PTMFR0AM0003
EDP - Energias de Portugal SA,EDP PL,PTEDP0AM0009
Verbund AG,VER AV,AT0000746409
ERG SpA,ERG IM,IT0001157020
Enel SpA,ENEL IM,IT0003128367
Iberdrola SA,IBE SM,ES0144580Y14
Hera SpA,HER IM,IT0001250932
Endesa SA,ELE SM,ES0130670112
Innogy SE,IGY GR,DE000A2AADD2
Iren SpA,IRE IM,IT0003027817
Mainova AG,MNV6 GR,DE0006553464
MVV Energie AG,MVV1 GR,DE000A0H52F5
Sonae Capital SGPS SA,SONC PL,PTSNP0AE0008
Direct Energie,DIREN FP,FR0004191674
A2A SpA,A2A IM,IT0001233417
ACEA SpA,ACE IM,IT0001207098
Areva SA,ARVCF US,FR0011027143
E.ON SE,EOAN GR,DE000ENAG999
Elecnor SA,ENO SM,ES0129743318
Electricite de France SA,EDF FP,FR0010242511
Electricite de Strasbourg SA,ELEC FP,FR0000031023
Elia Group SA/NV,ELI BB,BE0003822393
EnBW Energie Baden-Wuerttemberg AG,EBK GR,DE0005220008
Fortum Oyj,FORTUM FH,FI0009007132
Engie SA,ENGI FP,FR0010208488
RWE AG,RWE GR,DE0007037129
Public Power Corp SA,PPC GA,GRS434003000
Red Electrica Corp SA,REE SM,ES0173093024
EVN AG,EVN AV,AT0000741053
Uniper SE,UN01 GR,DE000UNSE018
Vorarlberger Kraftwerke AG,VKW AV,AT0000824503
