Ptf,name,ticker,ISIN,LEI_LegalEntityIdentifier_,Country,CountryISOCode,Region,OperatingRevenue_thUSD_,MarketCapitalisation_mUSD_,NACE_MainSection,NACE4_orbis,CPRS2_orbis,NACE4_eikon,capac_dir,capac_indir,foss_indir_sh,ren_sw_indir_sh,ren_all_indir_sh,nuc_indir_sh,ExposureToNewEnergy
,2Valorise NV,VALOR BB,BE0974275076,5493002PV2OV5MP41Y57,Belgium,BE,EU,23464.2962,n.a.,"D - Electricity, gas, steam and air conditioning supply",35.12,2-utility|electricity|transmission,35.11,8.9,8.9,0.0,0.0,1.0,0.0,A1
,7C Solarparken AG,HRPK GR,DE000A11QW68,529900SUURYOXKCQ6Z90,Germany,DE,EU,51414.6411,243.3152,C - Manufacturing,26.11,3-energy-intensive,35.11,77.25379999999998,77.25379999999998,0.0,1.0,1.0,0.0,A1
,ABO Invest AG,ABO GR,DE000A1EWXA4,391200Y1PCQR9Y3F4C76,Germany,DE,EU,38925.8049,102.9371,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,35.11,7.2,7.2,0.0,1.0,1.0,0.0,A1
,Albioma SA,ABIO FP,FR0000060402,,France,FR,EU,568472.9046,914.8225,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,35.11,341.45,341.45,0.6399179967784449,0.09298579587055206,0.36008200322155515,0.0,A1
,Alerion Cleanpower SpA,ARN IM,IT0004720733,81560090173FFC67B069,Italy,IT,EU,80692.6881,177.1895,L - Real estate activities,68.2,4-buildings,35.11,449.15000000000003,546.25,0.0,1.0,1.0,0.0,A1
,Audax Renovables SA,ADX SM,ES0136463017,959800MAFGMXMGJHCH48,Spain,ES,EU,1172592.4099,1058.4931,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,35.14,413.38,576.9799999999999,0.0,0.9999999999999999,0.9999999999999999,0.0,A1
,Encavis AG,CAP GR,DE0006095003,391200ECRGNL09Y2KJ67,Germany,DE,EU,324282.8486,1440.9697,K - Financial and insurance activities,66.19,7-finance,35.11,1482.6909770114944,1688.3909770114944,0.0,1.0,1.0,0.0,A1
,Electrawinds SE,EWI GR,LU0538936351,391200OJQDGTZCI0XO41,Luxembourg,BE,EU,4580.0626,1.3246,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,96.09,1.8,82.35000000000001,0.0,0.785063752276867,0.9999999999999999,0.0,A1
,Energiekontor AG,EKT GR,DE0005313506,529900MCVP6QF0PTPQ72,Germany,DE,EU,72707.5619,350.47,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,35.11,1422.8204166666667,1422.8204166666667,0.0,1.0,1.0,0.0,A1
,ENCAVIS Asset Management AG,CU1 GR,DE000A12UL56,391200ATYHZPIUJIUA49,Germany,DE,EU,70340.0636,n.a.,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,66.3,157.5,214.9,0.0,1.0,1.0,0.0,A1
,PNE AG,PNE3 GR,DE000A0JBPG2,391200KEHI6OQSGGN373,Germany,DE,EU,154416.9269,346.1702,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,28.11,1570.1416666666667,2840.4383333333335,0.0,1.0,1.0,0.0,A1
,Saeta Yield SA,SAY SM,ES0105058004,9598003UVVFKH7ACJ259,Spain,ES,EU,398849.86,n.a.,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,35.11,1007.575,1007.575,0.0,1.0,1.0,0.0,A1
,EQTEC PLC,EQT LN,IE00BH3XCL94,63540085VSYVDEINJO04,Ireland,IE,EU,2474.8499,5.9444,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,35.11,0.0,30.0,0.0,1.0,1.0,0.0,A1
,Falck Renewables SpA,FKR IM,IT0003198790,81560097DD19407C3F80,Italy,IT,EU,432779.683,1558.3019,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,35.11,329.61,349.71,0.0,0.6128792428011782,1.0,0.0,A1
,Futuren SA,FTRN FP,FR0011284991,969500XTQ6MFGRLWPW71,France,FR,EU,84609.8176,n.a.,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,35.11,179.8,312.8355,0.0,1.0,1.0,0.0,A1
,Global EcoPower SA,ALGEP FP,FR0011289198,969500UASW857N6VIH65,France,FR,EU,29371.5548,11.7101,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,25.21,47.25,47.25,0.0,1.0,1.0,0.0,A1
,Greencoat Renewables PLC,GRP ID,IE00BF2NR112,635400TVSIFFQOB8RB67,Ireland,IE,EU,3387.0506,839.4988,"D - Electricity, gas, steam and air conditioning supply",35.12,2-utility|electricity|transmission,35.11,541.85,528.05,0.0,1.0,1.0,0.0,A1
,Nordex SE,NDX1 GR,DE000A0D6554,529900HVDYCUWVD0OE76,Germany,DE,EU,3711695.1422,1459.713,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,28.11,7.0,43.7,0.0,1.0,1.0,0.0,A1
,PLT energia SpA,PLTE IM,IT0005024960,815600B6DCDBDC24EC53,Italy,IT,EU,77973.3943,n.a.,"D - Electricity, gas, steam and air conditioning supply",35.12,2-utility|electricity|transmission,35.11,190.675,190.675,0.0,1.0,1.0,0.0,A1
,EDP Renovaveis SA,EDPR PL,ES0127797019,529900MUFAH07Q1TAX06,Spain,ES,EU,2145620.6996,10289.484,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,35.11,3015.5973000000004,13674.86952147651,0.0,0.9998171828991805,0.9999999999999999,0.0,A1
,Enel Green Power SpA,EGPW IM,IT0004618465,549300VLR4TEG8VILM36,Italy,IT,EU,3223640.5131,n.a.,"D - Electricity, gas, steam and air conditioning supply",35.12,2-utility|electricity|transmission,35.11,3505.362,18294.008,0.0007652778986430966,0.8709827829964871,0.9992347221013568,0.0,A1
,Solarworld AG,SWVK GR,DE000A1YCMM2,529900ELR8E3G0FIIG96,Germany,DE,EU,879512.212,37.7944,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,26.11,0.0,51.413999999999994,0.0,1.0,1.0,0.0,A1
,Terna Energy SA,TENERGY GA,GRS496003005,5493006164JBW2E60O73,Greece,GR,EU,361186.5338,980.3001,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,35.11,1242.3200000000002,1278.9200000000003,0.0,0.9530854158195977,0.9999999999999999,0.0,A1
,Velcan Holdings SA,ALVEL FP,FR0010245803,222100SOZQEBWOVHDQ35,France,LU,EU,3207.3066,n.a.,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,35.11,0.0,44.68,0.0,0.0,1.0,0.0,A1
,Voltalia SA,VLTSA FP,FR0011995588,969500KE938Z79ZH1N44,France,FR,EU,197122.9723,1396.8073,F - Construction,43.21,9-other,35.11,283.75,767.3599999999999,0.0,0.9984361968306923,1.0,0.0,A1
,Martifer SGPS SA,MAR PL,PTMFR0AM0003,959800HYZFJ73QZQLS50,Portugal,PT,EU,295216.0008,42.5769,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,26.11,22.5,174.8,0.0,0.7654462242562929,1.0,0.0,A2
,EDP - Energias de Portugal SA,EDP PL,PTEDP0AM0009,529900CLC3WDMGI9VH80,Portugal,PT,EU,16878964.845,15872.3615,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,,12301.159866666667,30052.43938814318,0.2377650581942156,0.4735152290862251,0.7622349418057844,0.0,A3
,Verbund AG,VER AV,AT0000746409,5299006UDSEJCTTEJS30,Austria,AT,EU,4412606.779,17461.429,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,35.14,1656.4656973309002,8737.045697330901,0.30679706766543197,0.018854050103139938,0.6932029323345681,0.0,A3
,ERG SpA,ERG IM,IT0001157020,8156004604684CA44A90,Italy,IT,EU,1173266.4498,3245.671,C - Manufacturing,19.2,1-fossil|oil,35.11,136.5,2076.57,0.33250504437606243,0.6661947345863611,0.6674949556239376,0.0,A4
,Enel SpA,ENEL IM,IT0003128367,WOCMU6HCI0OJWNPRZS33,Italy,IT,EU,89874235.0962,80771.0574,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,35.11,35655.8556,94773.46560574713,0.5064033362678195,0.24588180546518096,0.4935966637321805,0.0,A3
,Iberdrola SA,IBE SM,ES0144580Y14,5QK37QC7NWOJ8D7WVQ45,Spain,ES,EU,41674186.9454,65610.8461,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,42.22,16199.111100000002,58776.10032717949,0.32017924182182755,0.4465105755756231,0.6554230864711761,0.0,A3
,Hera SpA,HER IM,IT0001250932,8156009414FD99443B48,Italy,IT,EU,8362139.151,3094.661,"D - Electricity, gas, steam and air conditioning supply",35.13,2-utility|electricity|distribution,35.22,358.27,391.07,0.7287697854604035,0.007671260899583195,0.2712302145395965,0.0,A3
,Endesa SA,ELE SM,ES0130670112,549300LHK07F2CHV4X31,Spain,ES,EU,22645494.251,28295.874,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,35.11,10322.120833333334,32981.25600574713,0.6203882341184442,0.12984783940875633,0.37961176588155576,0.0,A3
,Innogy SE,IGY GR,DE000A2AADD2,,Germany,DE,EU,42564497.0571,n.a.,"D - Electricity, gas, steam and air conditioning supply",35.12,2-utility|electricity|transmission,35.11,1213.35711,9613.279330961363,0.430743231049534,0.473005305933062,0.5692567689504658,0.0,A3
,Iren SpA,IRE IM,IT0003027817,8156001EBD33FD474E60,Italy,IT,EU,4802204.095,4036.5695,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,35.23,1675.2,1698.2,0.734248027323048,0.0029442939583087975,0.26575197267695205,0.0,A3
,Mainova AG,MNV6 GR,DE0006553464,529900V3S3C2QZPTD593,Germany,DE,EU,2586493.3552,32.0516,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,35.14,539.175,539.175,0.8518106366207632,0.12519126443177075,0.1481893633792368,0.0,A3
