Scenario,Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2070,2080,2090,2100
Current Policies,REMIND-MAgPIE 2.1-4.2|EU 28,Final Energy|Transportation|Electricity,EJ/yr,0.3126,0.5425,0.9209,1.42,2.0492,2.779,3.4173,3.7725,3.8858,3.9451,4.3918,4.3153,4.6557
Delayed transition,REMIND-MAgPIE 2.1-4.2|EU 28,Final Energy|Transportation|Electricity,EJ/yr,0.3126,0.5425,0.9209,1.5622,2.5684,3.6759,4.3922,4.6255,4.6478,4.6434,4.9814,4.8137,5.0041
Net Zero 2050,REMIND-MAgPIE 2.1-4.2|EU 28,Final Energy|Transportation|Electricity,EJ/yr,0.3126,0.6149,1.2687,2.2233,3.2094,3.9793,4.3822,4.4894,4.4956,4.4768,4.7627,4.5321,4.696
Current Policies,REMIND-MAgPIE 2.1-4.2|EU 28,Final Energy|Transportation|Liquids|Oil,EJ/yr,15.42,14.5318,14.2341,13.4641,11.4912,9.2581,7.1696,6.4825,6.468,5.1852,3.1281,1.6045,0.5434
Delayed transition,REMIND-MAgPIE 2.1-4.2|EU 28,Final Energy|Transportation|Liquids|Oil,EJ/yr,15.42,14.5318,14.2341,11.9714,7.8452,4.0288,1.385,0.03,0.0056,0.0023,0.0,0.0,0.0
Net Zero 2050,REMIND-MAgPIE 2.1-4.2|EU 28,Final Energy|Transportation|Liquids|Oil,EJ/yr,15.42,13.814,11.7166,8.4654,4.6823,2.653,1.7772,1.198,0.9319,0.7143,0.6022,0.507,0.433
Current Policies,REMIND-MAgPIE 2.1-4.2|EU 28,Primary Energy|Coal,EJ/yr,7.1221,4.9838,3.8227,2.9741,2.4244,2.1289,1.8723,1.7068,1.7595,1.8725,1.6988,1.4939,1.3301
Delayed transition,REMIND-MAgPIE 2.1-4.2|EU 28,Primary Energy|Coal,EJ/yr,7.1221,4.9838,3.8227,1.0015,0.2168,0.2988,0.1843,0.0745,0.0391,0.0278,0.0242,0.0219,0.0166
Net Zero 2050,REMIND-MAgPIE 2.1-4.2|EU 28,Primary Energy|Coal,EJ/yr,7.1221,2.2772,0.3519,0.283,0.2698,0.2225,0.1282,0.0538,0.0489,0.0353,0.0371,0.0423,0.0386
Current Policies,REMIND-MAgPIE 2.1-4.2|EU 28,Primary Energy|Gas,EJ/yr,14.5154,14.6531,14.4493,14.6184,14.2703,13.5322,13.1815,12.4732,12.0072,10.913,9.7569,8.0367,7.1538
Delayed transition,REMIND-MAgPIE 2.1-4.2|EU 28,Primary Energy|Gas,EJ/yr,14.5154,14.6531,14.4493,8.0562,3.241,1.8474,0.3745,0.1587,0.0772,0.0072,0.0002,0.0004,0.0003
Net Zero 2050,REMIND-MAgPIE 2.1-4.2|EU 28,Primary Energy|Gas,EJ/yr,14.5154,11.957,8.2168,5.9955,3.2449,2.2562,1.3018,1.0895,1.2394,1.9962,2.4337,2.7302,3.6112
Current Policies,REMIND-MAgPIE 2.1-4.2|EU 28,Primary Energy|Oil,EJ/yr,23.1702,21.5451,20.4038,19.1895,17.0567,14.2191,11.7822,10.2982,9.3309,6.565,3.5284,2.2077,1.4786
Delayed transition,REMIND-MAgPIE 2.1-4.2|EU 28,Primary Energy|Oil,EJ/yr,23.1702,21.5451,20.4038,16.4681,9.4125,4.5429,1.5218,0.0329,0.0061,0.0025,0.0001,0.0001,0.0001
Net Zero 2050,REMIND-MAgPIE 2.1-4.2|EU 28,Primary Energy|Oil,EJ/yr,23.1702,20.7048,17.2685,12.6472,6.3862,3.7094,1.9527,1.3432,1.2234,1.0415,0.8673,0.5885,0.4758
Current Policies,REMIND-MAgPIE 2.1-4.2|EU 28,Secondary Energy|Electricity|Biomass,EJ/yr,0.5551,0.6239,0.66,0.6484,0.5977,0.5331,0.4706,0.4356,0.4244,0.4711,0.6253,0.6745,0.7183
Delayed transition,REMIND-MAgPIE 2.1-4.2|EU 28,Secondary Energy|Electricity|Biomass,EJ/yr,0.5551,0.6239,0.66,0.6879,0.739,0.7926,0.8153,0.8012,0.7618,0.6606,0.5707,0.4815,0.4648
Net Zero 2050,REMIND-MAgPIE 2.1-4.2|EU 28,Secondary Energy|Electricity|Biomass,EJ/yr,0.5551,0.6334,0.7451,0.8837,0.9504,0.9272,0.8662,0.8039,0.7418,0.6034,0.5527,0.5951,0.58
Current Policies,REMIND-MAgPIE 2.1-4.2|EU 28,Secondary Energy|Electricity|Coal,EJ/yr,2.4137,1.7034,1.3024,0.9503,0.6299,0.3313,0.0955,0.0005,0.0001,0.0001,0.0001,0.0001,0.0001
Delayed transition,REMIND-MAgPIE 2.1-4.2|EU 28,Secondary Energy|Electricity|Coal,EJ/yr,2.4137,1.7034,1.3024,0.289,0.0016,0.0009,0.0003,0.0001,0.0001,0.0001,0.0002,0.0002,0.0001
Net Zero 2050,REMIND-MAgPIE 2.1-4.2|EU 28,Secondary Energy|Electricity|Coal,EJ/yr,2.4137,0.6993,0.0422,0.0016,0.0011,0.0006,0.0003,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001
Current Policies,REMIND-MAgPIE 2.1-4.2|EU 28,Secondary Energy|Electricity|Gas,EJ/yr,2.2751,2.5957,2.6111,2.5018,2.317,2.1526,2.0108,1.839,1.6842,1.3241,0.8749,0.5479,0.5628
Delayed transition,REMIND-MAgPIE 2.1-4.2|EU 28,Secondary Energy|Electricity|Gas,EJ/yr,2.2751,2.5957,2.6111,1.2779,0.3493,0.228,0.077,0.0101,0.0005,0.0001,0.0001,0.0001,0.0001
Net Zero 2050,REMIND-MAgPIE 2.1-4.2|EU 28,Secondary Energy|Electricity|Gas,EJ/yr,2.2751,1.8685,0.6146,0.3741,0.3241,0.2432,0.141,0.0549,0.0018,0.0001,0.0001,0.0001,0.0001
Current Policies,REMIND-MAgPIE 2.1-4.2|EU 28,Secondary Energy|Electricity|Hydro,EJ/yr,1.499,1.5828,1.5826,1.5705,1.551,1.5268,1.4853,1.4389,1.3921,1.2969,1.2152,1.1815,1.212
Delayed transition,REMIND-MAgPIE 2.1-4.2|EU 28,Secondary Energy|Electricity|Hydro,EJ/yr,1.499,1.5828,1.5826,1.5727,1.5585,1.5409,1.5196,1.482,1.4415,1.3582,1.2835,1.2423,1.2469
Net Zero 2050,REMIND-MAgPIE 2.1-4.2|EU 28,Secondary Energy|Electricity|Hydro,EJ/yr,1.499,1.5859,1.5907,1.5823,1.566,1.5453,1.522,1.4805,1.4375,1.351,1.2774,1.2413,1.2514
Current Policies,REMIND-MAgPIE 2.1-4.2|EU 28,Secondary Energy|Electricity|Non-Biomass Renewables,EJ/yr,4.2206,5.8601,8.0168,10.1513,11.9815,13.7629,15.067,16.1137,16.7665,17.9114,19.0801,19.4115,19.8602
Delayed transition,REMIND-MAgPIE 2.1-4.2|EU 28,Secondary Energy|Electricity|Non-Biomass Renewables,EJ/yr,4.2206,5.8601,8.0168,12.126,17.4861,21.7665,23.9624,25.2535,25.5803,26.0617,26.7302,26.7813,26.3918
Net Zero 2050,REMIND-MAgPIE 2.1-4.2|EU 28,Secondary Energy|Electricity|Non-Biomass Renewables,EJ/yr,4.2206,7.1245,11.7027,15.9467,19.1463,21.8656,23.3191,23.7307,23.7206,24.1514,24.2704,23.4974,22.9273
Current Policies,REMIND-MAgPIE 2.1-4.2|EU 28,Secondary Energy|Electricity|Nuclear,EJ/yr,2.3689,1.7246,1.1252,0.7015,0.4505,0.2367,0.0791,0.002,0.0,0.0,0.0,0.0,0.0
Delayed transition,REMIND-MAgPIE 2.1-4.2|EU 28,Secondary Energy|Electricity|Nuclear,EJ/yr,2.3689,1.7246,1.1252,0.7015,0.4505,0.2367,0.0791,0.002,0.0,0.0,0.0,0.0,0.0
Net Zero 2050,REMIND-MAgPIE 2.1-4.2|EU 28,Secondary Energy|Electricity|Nuclear,EJ/yr,2.3689,1.7246,1.1252,0.7015,0.4505,0.2367,0.0791,0.002,0.0,0.0,0.0,0.0,0.0
